## RECSRecommendations Upload File
## RECS''## RECS'' indicates a Recommendations pre-process header. Please do not remove these lines.,,,,,,,,,,,,,,,,,,,
## RECS
## RECSUse this file to upload product display information to Recommendations. Each product has its own row. Each line must contain 19 values and if not all are filled a space should be left.,,,,,,,,,,,,,,,,,,,
## RECSThe last 100 columns (entity.custom1 - entity.custom100) are custom. The name 'customN' can be replaced with a custom name such as 'onSale' or 'brand'.
## RECSIf the products already exist in Recommendations then changes uploaded here will override the data in Recommendations. Any new attributes entered here will be added to the product''s entry in Recommendations.,,,,,,,,,,,,,,,,,,,
## RECSentity.id,entity.name,entity.categoryId,entity.message,entity.thumbnailUrl,entity.value,entity.pageUrl,entity.inventory,entity.margin,entity.ctaName,entity.custom2,entity.custom3,entity.custom4,entity.custom5,entity.custom6,entity.custom7,entity.custom8,entity.custom9,entity.custom10,...
EASA01,Easy Access Savings Account,SA,Up to 20%* off an all our partner restaurants,https://s7ap1.scene7.com/is/image/Targetaxisbank/VcipSA_Nov22_Desktop_750x400?tm=1668167563890&fit=constrain&hei=300&wid=500,,https://application.axisbank.co.in/webforms/onlineform/saving-account/web/savingsaccount.aspx?cta=savings-listingpage-easyaccesssavingsaccount&_ga=2.256078473.303300805.1694617469-917542283.1694617469,,,Open Account,,,,,,,,,,
MZCC02,Axis Bank MY Zone Credit Card,CC,Free SonyLiv Premium subscription for 1 year worth Rs. 999,https://s7ap1.scene7.com/is/image/Targetaxisbank/Salary_OverlaySegmentedMay23_Desktop_750x400?tm=1682671611776&fit=constrain&hei=300&wid=500,,https://clctab.axisbank.co.in/DigitalChannel/WebForm/?index6&cta=cc-listingpage-myzone-apply-now&_ga=2.99792668.303300805.1694617469-917542283.1694617469,,,Apply Now,,,,,,,,,,
FD03,Fixed Deposit,FD,7.85%* Interest rate on Fixed Deposits for Senior Citizens.,https://s7ap1.scene7.com/is/image/Targetaxisbank/VcipSA_Feb23_Desktop_750x400?tm=1675926249175&fit=constrain&hei=300&wid=500,,https://omni.axisbank.co.in/axisretailbanking/,,,Open FD,,,,,,,,,,
